"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"630",2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2
"631",2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"632",1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"643",2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"645",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"646",2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"656",2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"665",1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2
"667",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"677",1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"681",1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2
"686",1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2
"688",2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2
"689",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"691",2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"696",1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2
"716",2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2
"725",1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2
"726",1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2
"734",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"736",2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"737",2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"739",2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"740",2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"741",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2
"746",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
"748",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"749",2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"751",1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2
